id_ordem,numero_os,situacao,data_emissao,equipamento,status,contato_id,contato_nome,contato_email,descricao_problema
582606761,31175,3,2025-05-17,8 plus ,Ordem não encontrada na API,,,,Bateria e tela
582604485,31173,3,2025-05-16,iPhone 11,Ordem não encontrada na API,,,,tela e bateria 
582602687,31171,4,2025-05-16,Mac Mini ,Ordem não encontrada na API,,,,Nao encontra o disco 
582605282,31174,3,2025-05-16,iPhone 11,Ordem não encontrada na API,,,,tela 
582593829,31167,7,2025-05-14,iPhone 7 ,Ordem não encontrada na API,,,,audio - microfone
582593776,31166,3,2025-05-14,iPhone 14 Pro max,Ordem não encontrada na API,,,,Traseira muito quebrada.
582595453,31170,7,2025-05-14,MacBook Air A2337,Ordem não encontrada na API,,,,Não da imagem
582594945,31169,3,2025-05-14,iPhone 13 mini ,Ordem não encontrada na API,,,,nao para ligado
582593920,31168,7,2025-05-14,Macbook A1708,Ordem não encontrada na API,,,,nao liga
582592357,31164,3,2025-05-14,MacBook A1466,Ordem não encontrada na API,,,,sistema
582586891,31161,3,2025-05-13,MacBook Pro A2338,Ordem não encontrada na API,,,,"Tela quebrada, sem imagem"
582590057,31163,4,2025-05-13,MacBook A1466,Ordem não encontrada na API,,,,não liga 
582583124,31157,7,2025-05-12,MacBook Pro M1 Pro ,Ordem não encontrada na API,,,,"Tela com faixa vertical preta, quebrada internamente , devido a impacto ou queda"
582581646,31156,3,2025-05-12,iPhone 8 Plus ,Ordem não encontrada na API,,,,bateria bem estufada 
582584766,31159,3,2025-05-12,iPhone 13 Pro Max ,Ordem não encontrada na API,,,,tela branca 
582584560,31158,3,2025-05-12,IPAD A2198 7 geração ,Ordem não encontrada na API,,,,tela - vidro bem quebrado 
582576735,31153,3,2025-05-10,iPad A1893,Ordem não encontrada na API,,,,BATERIA 
582564022,31142,0,2025-05-08,MacBook A1932,Ordem não encontrada na API,,,,cabo flex trackpad 
582530868,31117,0,2025-04-30,iPhone 12 Pro Max,Ordem não encontrada na API,,,,não liga
582516962,31098,3,2025-04-26,iPad mini A1600,Ordem não encontrada na API,,,,vidro touch 
582506730,31080,4,2025-04-23,Iphone 13,Ordem não encontrada na API,,,,Iphone fica reiniciando.
582505612,31077,5,2025-04-23,MacBook Pro A1278,Ordem não encontrada na API,,,,"Não liga, impossível checklist"
582488155,31062,0,2025-04-17,Macbook A2141,Ordem não encontrada na API,,,,nao liga
582451682,31015,0,2025-04-09,Imac ,Ordem não encontrada na API,,,,sistema
582441410,31007,4,2025-04-07,MacBook Air M1 2020,Ordem não encontrada na API,,,,tela 
582404157,30975,2,2025-04-01,Apple Watch SE A2352,Ordem não encontrada na API,,,,Apple Watch SE
582367087,30937,1,2025-03-26,Apple watch série 3 42mm,Ordem não encontrada na API,,,,Apple watch não liga mais. Chegou da tela verde com alguns chuvisco e não funcionou mais.
582344587,30910,5,2025-03-22,Iphone 13,Ordem não encontrada na API,,,,Lente da câmera traseira quebrada.
582322033,30894,1,2025-03-18,Iphone 8 g,Ordem não encontrada na API,,,,Iphone  chegou sem imagem.Com algumas avarias no chassi
582317146,30891,7,2025-03-17,iPhone 13 Pro Max azul,Ordem não encontrada na API,,,,"reiniciando na maça, impossivel checklist. 
Foi trocado a tampa traseira, e depois de 3 dias, durant..."
582315322,30886,5,2025-03-17,MacBook A1278,Ordem não encontrada na API,,,, nao liga
582301855,30867,1,2025-03-14,iPad A2757,Ordem não encontrada na API,,,,Botao power
582289197,30859,1,2025-03-12,iPhone 11 ,Ordem não encontrada na API,,,,molhou
582276272,30844,1,2025-03-11,MacBook A2141,Ordem não encontrada na API,,,,Não liga
582259271,30819,7,2025-03-07,iPhone 11,Ordem não encontrada na API,,,,"tela, bateria e traseira"
582251163,30812,4,2025-03-05,iPad A1475,Ordem não encontrada na API,,,,Tela
582233973,30796,5,2025-02-28,iPhone 13 azul,Ordem não encontrada na API,,,,"não liga, e não puxa carga no cabo. Estava carregando e simplesmente apagou."
582226770,30783,1,2025-02-27,Apple watch SE rose A2351,Ordem não encontrada na API,,,,Após ter entrado na piscina com o relógio aparelho parou de funcionar
582187492,30733,2,2025-02-20,Apple watch série 7 45mm,Ordem não encontrada na API,,,,Apple Watch A2474
582156636,30685,5,2025-02-14,Macbook Air,Ordem não encontrada na API,,,,"NãO LIGA, 
Molhou bem pouco em novembro, ontem ele fechou a tela, e hoje fez o som de ligar fechado ..."
582148472,30673,2,2025-02-13,Apple watch serie 3,Ordem não encontrada na API,,,,nao sei da tela da maça e molhou
582125956,30654,2,2025-02-10,Ipad A2270,Ordem não encontrada na API,,,,"curvado, display danificado"
582116283,30639,1,2025-02-07,Ipad  4 geração A2316,Ordem não encontrada na API,,,,Ipad com falha no touch.Impossivel checklist de entrada.
582071646,30581,4,2025-01-30,Macbook Pro  A1708,Ordem não encontrada na API,,,,Macbook não liga
582072355,30583,2,2025-01-30,iPad A2567,Ordem não encontrada na API,,,,Nao liga
582050053,30557,4,2025-01-27,MacBook a1502,Ordem não encontrada na API,,,,mouse e trackpad congelado
582048351,30555,4,2025-01-27,iPhone 13,Ordem não encontrada na API,,,,nao liga
581954001,30451,4,2025-01-07,Iphone 14 pro max,Ordem não encontrada na API,,,,Aparelho ficou com tela verde aptos mergulhar na piscina
581943017,30428,4,2025-01-06,iPhone 11,Ordem não encontrada na API,,,,caiu no rio
581939041,30422,2,2025-01-04,iPhone 13 Pro ,Ordem não encontrada na API,,,,molhou no mar
