Order ID,Error
580816290,could not convert string to float: '100%'
581168439,could not convert string to float: '100%'
581120407,could not convert string to float: '100%'
581116302,could not convert string to float: '100%'
581797524,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
581795394,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581795394 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b7d10>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581791802,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581791802 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x104057140>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581790936,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581790936 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b72f0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581789036,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581789036 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x104057c20>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581788884,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581788884 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b49e0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581788493,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581788493 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b6090>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581787298,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581787298 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040579e0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581778997,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581778997 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040553a0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581778395,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581778395 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040e5ac0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581773953,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581773953 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040e7aa0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581773774,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581773774 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x104057d10>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581768224,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581768224 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x104057530>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581765687,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581765687 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b77a0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581765474,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581765474 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b4dd0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581765457,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581765457 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b7140>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581765197,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581765197 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040e43b0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581764493,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581764493 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040e73e0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581764199,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581764199 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x104057fe0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581764040,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581764040 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x104057e90>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581762620,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581762620 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b7740>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581762492,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581762492 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b7d10>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
